O00141,GO:0005737;GO:0005829;GO:0005789;GO:0005739;GO:0016607;GO:0005654;GO:0005634;GO:0005886;GO:0005524;GO:0005246;GO:0017081;GO:0015459;GO:0106310;GO:0004674;GO:0004712;GO:0017080;GO:0006915;GO:1904045;GO:0006974;GO:0035556;GO:0007616;GO:0048812;GO:0018105;GO:0032411;GO:0006468;GO:0042981;GO:0008217;GO:0050790;GO:0001558;GO:0030334;GO:0042127;GO:0051090;GO:0060453;GO:1901796;GO:0070294;GO:0006814
O00311,GO:0005737;GO:0045171;GO:0072686;GO:0005654;GO:0005634;GO:0005524;GO:0016301;GO:0046872;GO:0004672;GO:0106310;GO:0004674;GO:0004712;GO:0044770;GO:0051301;GO:0000727;GO:0000082;GO:0018105;GO:0008284;GO:0010971;GO:0010571
O00329,GO:0005737;GO:0005829;GO:0016020;GO:0005942;GO:0005943;GO:0005886;GO:0016303;GO:0035005;GO:0005524;GO:0016301;GO:0035004;GO:0052742;GO:0052812;GO:0046934;GO:0002250;GO:0042113;GO:0035754;GO:0050853;GO:0016477;GO:0006954;GO:0045087;GO:0002551;GO:0043303;GO:0060374;GO:0030101;GO:0035747;GO:0001779;GO:0030593;GO:0072672;GO:0014065;GO:0046854;GO:0036092;GO:0048015;GO:0016310;GO:0045766;GO:0030335;GO:0038089;GO:0001819;GO:0010595;GO:0001938;GO:1905278;GO:0010628;GO:0033031;GO:0051897;GO:0006468;GO:0002679;GO:0007165;GO:0042110;GO:0010818;GO:0030217;GO:0050852
O00418,GO:0005737;GO:0005829;GO:0043197;GO:0014069;GO:0005524;GO:0005509;GO:0005516;GO:0004686;GO:0004672;GO:0008135;GO:0071454;GO:1990416;GO:0071277;GO:0071320;GO:0032869;GO:0043066;GO:0061003;GO:0045807;GO:0051965;GO:0046777;GO:0031952;GO:0002931;GO:1990637;GO:0006414
O00444,GO:0005814;GO:0005813;GO:0032154;GO:0005737;GO:0005829;GO:0098536;GO:0005730;GO:0005634;GO:0120098;GO:0120099;GO:0000922;GO:0001741;GO:0005524;GO:0042802;GO:0106310;GO:0004674;GO:0004712;GO:0007099;GO:0060271;GO:0098535;GO:0000278;GO:0046601;GO:0006468;GO:0032465;GO:0060707
O14757,GO:0005813;GO:0000785;GO:0000794;GO:0005737;GO:0005829;GO:0005615;GO:0043231;GO:0005654;GO:0005634;GO:0032991;GO:0005657;GO:0005524;GO:0035402;GO:0019904;GO:0004672;GO:0106310;GO:0004674;GO:0004712;GO:0006915;GO:1902742;GO:0071313;GO:0006974;GO:0071260;GO:0000077;GO:0006975;GO:0006281;GO:0006260;GO:0045815;GO:0000086;GO:0001833;GO:0035556;GO:0007095;GO:0044818;GO:2000279;GO:0070317;GO:0045839;GO:0006997;GO:0018107;GO:0045787;GO:0006468;GO:0042127;GO:0010569;GO:2000615;GO:0046602;GO:1901796;GO:0010767;GO:0090399
O14920,GO:0035631;GO:0005737;GO:0009898;GO:0005829;GO:0008385;GO:0045121;GO:0005634;GO:0005524;GO:0042802;GO:0008384;GO:0046982;GO:0042803;GO:0004672;GO:0019901;GO:0106310;GO:0004674;GO:0004712;GO:0097110;GO:1990459;GO:0002479;GO:0071356;GO:0030866;GO:0038095;GO:0007249;GO:0006954;GO:0045087;GO:0070498;GO:1903347;GO:0035509;GO:0018105;GO:0043123;GO:0051092;GO:0045944;GO:0045893;GO:0072659;GO:0006468;GO:1903140;GO:0042325;GO:0010803;GO:0009615;GO:0002223;GO:0051403;GO:0050852;GO:0033209
O14965,GO:0043203;GO:0005814;GO:0005813;GO:0032133;GO:0005929;GO:0005829;GO:0042585;GO:0072687;GO:0005874;GO:0015630;GO:0030496;GO:0097431;GO:0005654;GO:0005634;GO:0048471;GO:0045120;GO:0005819;GO:0051233;GO:0031616;GO:0005524;GO:0035174;GO:0046982;GO:0004672;GO:0019901;GO:0106310;GO:0004674;GO:0004712;GO:0031625;GO:0009948;GO:0051301;GO:0051642;GO:0000086;GO:0097421;GO:0000278;GO:0007100;GO:0007052;GO:0043066;GO:0010629;GO:0032091;GO:1990138;GO:0018105;GO:0090141;GO:0045840;GO:1900195;GO:0032436;GO:0046777;GO:0071539;GO:0006468;GO:0046605;GO:0032465;GO:0010389;GO:0031647;GO:1901796;GO:0009611;GO:0007057;GO:0007051
O15075,GO:0005887;GO:0014069;GO:0005524;GO:0004672;GO:0106310;GO:0004674;GO:0004712;GO:0048675;GO:0007417;GO:0021952;GO:0048813;GO:0016197;GO:0030900;GO:0035556;GO:1900181;GO:0007399;GO:0001764;GO:0048812;GO:0018105;GO:0006468;GO:0009615
O15111,GO:0035631;GO:0005737;GO:0009898;GO:0005829;GO:0008385;GO:0005654;GO:0005524;GO:0008384;GO:0046982;GO:0042803;GO:0004672;GO:0004674;GO:0097110;GO:1990459;GO:0009653;GO:0071276;GO:0034614;GO:0071356;GO:0098586;GO:0007249;GO:0007252;GO:0006955;GO:0006954;GO:0045087;GO:0032088;GO:0038061;GO:0018105;GO:0043123;GO:0032727;GO:0051092;GO:0045944;GO:0045893;GO:0006468;GO:0009615;GO:0033209
O15264,GO:0005737;GO:0005829;GO:0005634;GO:0005524;GO:0004707;GO:0106310;GO:0004674;GO:0004712;GO:0007049;GO:0072740;GO:0070301;GO:0071347;GO:1903936;GO:0072709;GO:0034644;GO:0035556;GO:0018105;GO:0050729;GO:0032755;GO:0006970;GO:0051403
O15530,GO:0042995;GO:0005737;GO:0031410;GO:0005829;GO:0005925;GO:0005634;GO:0005886;GO:0014069;GO:0004676;GO:0005524;GO:0016004;GO:0043274;GO:0106310;GO:0004674;GO:0004712;GO:0030036;GO:0032148;GO:0019722;GO:0016477;GO:0071364;GO:0032869;GO:0007173;GO:0097191;GO:0006972;GO:0035556;GO:0010667;GO:2000352;GO:0006469;GO:0034122;GO:0030512;GO:0018105;GO:0018107;GO:0045766;GO:0043536;GO:0010518;GO:1903078;GO:0051281;GO:1903672;GO:1905564;GO:0046777;GO:0006468;GO:0043122;GO:0043304;GO:0003323
O43293,GO:0005737;GO:0005654;GO:0005634;GO:0016605;GO:0005524;GO:0008140;GO:0042802;GO:0043522;GO:0042803;GO:0106310;GO:0004674;GO:0004712;GO:0031267;GO:0006915;GO:0097190;GO:0071346;GO:0006325;GO:0035556;GO:0017148;GO:0043065;GO:0090263;GO:0030335;GO:0046777;GO:0006468;GO:2000249;GO:0042981;GO:0010506;GO:2000145;GO:0008360;GO:0051893;GO:0007346;GO:0007088;GO:0043519;GO:0006940;GO:0006355
O43741,GO:0005737;GO:0005829;GO:0005654;GO:0031588;GO:0005634;GO:0019901;GO:0031669;GO:0006633;GO:0120162;GO:0006468;GO:0050790;GO:0080090;GO:0007165
